authors_total,boundary_sha,censor_on,commits_total,days_since_old_line_release,dormant_days,duration_days,engine,event,event_on,lag_releases,last_activity_on,latest_stable_at_end,origin_on,origin_rule,repo_id,schema,still_supported,stratum,v
20,,2026-08-26,1009,4,72,1441,godot,0,,8,2026-06-15,4.7.2,2022-09-15,4.0-beta1,Rhythia/sound-space-plus,lag_observations,True,game,0.1
2,,2026-08-26,41,4,2200,1274,godot,0,,7,2020-08-17,4.7.2,2023-03-01,4.0-stable,spkingr/Godot-Demos,lag_observations,True,learning-material,0.1
2,,2026-08-26,41,4,2200,1441,godot,0,,8,2020-08-17,4.7.2,2022-09-15,4.0-beta1,spkingr/Godot-Demos,lag_observations,True,learning-material,0.1
4,,2026-08-26,21,4,1820,1274,godot,0,,7,2021-09-01,4.7.2,2023-03-01,4.0-stable,Bauxitedev/godot-motion-blur,lag_observations,True,unknown,0.1
4,,2026-08-26,21,4,1820,1441,godot,0,,8,2021-09-01,4.7.2,2022-09-15,4.0-beta1,Bauxitedev/godot-motion-blur,lag_observations,True,unknown,0.1
5,,2026-08-26,32,4,2286,1274,godot,0,,7,2020-05-23,4.7.2,2023-03-01,4.0-stable,JaccomoLorenz/godot-camera-control,lag_observations,True,unknown,0.1
5,,2026-08-26,32,4,2286,1441,godot,0,,8,2020-05-23,4.7.2,2022-09-15,4.0-beta1,JaccomoLorenz/godot-camera-control,lag_observations,True,unknown,0.1
3,,2026-08-26,40,4,1830,1274,godot,0,,7,2021-08-22,4.7.2,2023-03-01,4.0-stable,Zylann/godot_scatter_plugin,lag_observations,True,addon,0.1
3,,2026-08-26,40,4,1830,1441,godot,0,,8,2021-08-22,4.7.2,2022-09-15,4.0-beta1,Zylann/godot_scatter_plugin,lag_observations,True,addon,0.1
2,,2026-08-26,62,4,188,1274,godot,0,,7,2026-02-19,4.7.2,2023-03-01,4.0-stable,miskatonicstudio/godot-experiments,lag_observations,True,game,0.1
2,,2026-08-26,62,4,188,1441,godot,0,,8,2026-02-19,4.7.2,2022-09-15,4.0-beta1,miskatonicstudio/godot-experiments,lag_observations,True,game,0.1
2,,2026-08-26,34,4,1779,1274,godot,0,,7,2021-10-12,4.7.2,2023-03-01,4.0-stable,benc-uk/super-dungeon-delve,lag_observations,True,game,0.1
2,,2026-08-26,34,4,1779,1441,godot,0,,8,2021-10-12,4.7.2,2022-09-15,4.0-beta1,benc-uk/super-dungeon-delve,lag_observations,True,game,0.1
2,,2026-08-26,16,4,102,1274,godot,0,,7,2026-05-16,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-2d-tactical-rpg-movement,lag_observations,True,game,0.1
2,,2026-08-26,16,4,102,1441,godot,0,,8,2026-05-16,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-2d-tactical-rpg-movement,lag_observations,True,game,0.1
41,,2026-08-26,1036,4,1840,1274,godot,0,,7,2021-08-12,4.7.2,2023-03-01,4.0-stable,opensuspect/opensuspect-legacy,lag_observations,True,game,0.1
41,,2026-08-26,1036,4,1840,1441,godot,0,,8,2021-08-12,4.7.2,2022-09-15,4.0-beta1,opensuspect/opensuspect-legacy,lag_observations,True,game,0.1
5,,2026-08-26,178,4,2073,1274,godot,0,,7,2020-12-22,4.7.2,2023-03-01,4.0-stable,ja-brouil/TBS_GoDot,lag_observations,True,game,0.1
5,,2026-08-26,178,4,2073,1441,godot,0,,8,2020-12-22,4.7.2,2022-09-15,4.0-beta1,ja-brouil/TBS_GoDot,lag_observations,True,game,0.1
5,,2026-08-26,185,4,1819,1274,godot,0,,7,2021-09-02,4.7.2,2023-03-01,4.0-stable,heraldofgargos/godot-fmod-integration,lag_observations,True,library,0.1
5,,2026-08-26,185,4,1819,1441,godot,0,,8,2021-09-02,4.7.2,2022-09-15,4.0-beta1,heraldofgargos/godot-fmod-integration,lag_observations,True,library,0.1
8,,2026-08-26,160,4,220,1274,godot,0,,7,2026-01-18,4.7.2,2023-03-01,4.0-stable,ninstar/Rich-Presence-U,lag_observations,True,game,0.1
8,,2026-08-26,160,4,220,1441,godot,0,,8,2026-01-18,4.7.2,2022-09-15,4.0-beta1,ninstar/Rich-Presence-U,lag_observations,True,game,0.1
4,,2026-08-26,67,4,1667,1274,godot,0,,7,2022-02-01,4.7.2,2023-03-01,4.0-stable,Bauxitedev/godot-texture-painter,lag_observations,True,tool,0.1
4,,2026-08-26,67,4,1667,1441,godot,0,,8,2022-02-01,4.7.2,2022-09-15,4.0-beta1,Bauxitedev/godot-texture-painter,lag_observations,True,tool,0.1
8,,2026-08-26,59,4,358,1274,godot,0,,7,2025-09-02,4.7.2,2023-03-01,4.0-stable,empyreanx/godot-state-sync-demo,lag_observations,True,demo,0.1
8,,2026-08-26,59,4,358,1441,godot,0,,8,2025-09-02,4.7.2,2022-09-15,4.0-beta1,empyreanx/godot-state-sync-demo,lag_observations,True,demo,0.1
6,,2026-08-26,59,4,540,1274,godot,0,,7,2025-03-04,4.7.2,2023-03-01,4.0-stable,yeslayla/build-godot-action,lag_observations,True,unknown,0.1
6,,2026-08-26,59,4,540,1441,godot,0,,8,2025-03-04,4.7.2,2022-09-15,4.0-beta1,yeslayla/build-godot-action,lag_observations,True,unknown,0.1
3,,2026-08-26,93,4,1648,1274,godot,0,,7,2022-02-20,4.7.2,2023-03-01,4.0-stable,geegaz/A-Key-s-Path,lag_observations,True,game,0.1
3,,2026-08-26,93,4,1648,1441,godot,0,,8,2022-02-20,4.7.2,2022-09-15,4.0-beta1,geegaz/A-Key-s-Path,lag_observations,True,game,0.1
3,,2026-08-26,232,4,1543,1274,godot,0,,7,2022-06-05,4.7.2,2023-03-01,4.0-stable,mayank-prasoon/world-maker,lag_observations,True,game,0.1
3,,2026-08-26,232,4,1543,1441,godot,0,,8,2022-06-05,4.7.2,2022-09-15,4.0-beta1,mayank-prasoon/world-maker,lag_observations,True,game,0.1
1,,2026-08-26,12,4,2098,1274,godot,0,,7,2020-11-27,4.7.2,2023-03-01,4.0-stable,SIsilicon/Godot-God-Rays-Plugin,lag_observations,True,addon,0.1
1,,2026-08-26,12,4,2098,1441,godot,0,,8,2020-11-27,4.7.2,2022-09-15,4.0-beta1,SIsilicon/Godot-God-Rays-Plugin,lag_observations,True,addon,0.1
8,,2026-08-26,106,4,1998,1274,godot,0,,7,2021-03-07,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-mini-tuts-demos,lag_observations,True,demo,0.1
8,,2026-08-26,106,4,1998,1441,godot,0,,8,2021-03-07,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-mini-tuts-demos,lag_observations,True,demo,0.1
2,,2026-08-26,120,4,1280,1274,godot,0,,7,2023-02-23,4.7.2,2023-03-01,4.0-stable,Tralexium/Chippy_Avoidance,lag_observations,True,game,0.1
2,,2026-08-26,120,4,1280,1351,godot,0,,8,2023-02-23,4.7.2,2022-12-14,4.0-beta1,Tralexium/Chippy_Avoidance,lag_observations,True,game,0.1
1,,2026-08-26,4,4,2365,1274,godot,0,,7,2020-03-05,4.7.2,2023-03-01,4.0-stable,Miziziziz/ThineCometh,lag_observations,True,unknown,0.1
1,,2026-08-26,4,4,2365,1441,godot,0,,8,2020-03-05,4.7.2,2022-09-15,4.0-beta1,Miziziziz/ThineCometh,lag_observations,True,unknown,0.1
2,,2026-08-26,23,4,986,1274,godot,0,,7,2023-12-14,4.7.2,2023-03-01,4.0-stable,bitbrain/godot-tutorials,lag_observations,True,learning-material,0.1
2,,2026-08-26,23,4,986,1381,godot,0,,8,2023-12-14,4.7.2,2022-11-14,4.0-beta1,bitbrain/godot-tutorials,lag_observations,True,learning-material,0.1
3,,2026-08-26,30,4,2077,1274,godot,0,,7,2020-12-18,4.7.2,2023-03-01,4.0-stable,kidscancode/circle_jump,lag_observations,True,learning-material,0.1
3,,2026-08-26,30,4,2077,1441,godot,0,,8,2020-12-18,4.7.2,2022-09-15,4.0-beta1,kidscancode/circle_jump,lag_observations,True,learning-material,0.1
4,,2026-08-26,60,4,1975,1274,godot,0,,7,2021-03-30,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-2d-rhythm,lag_observations,True,learning-material,0.1
4,,2026-08-26,60,4,1975,1441,godot,0,,8,2021-03-30,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-2d-rhythm,lag_observations,True,learning-material,0.1
3,,2026-08-26,91,4,1357,1274,godot,0,,7,2022-12-08,4.7.2,2023-03-01,4.0-stable,AhmedElTabarani/learnGodotArabic,lag_observations,True,unknown,0.1
3,,2026-08-26,91,4,1357,1441,godot,0,,8,2022-12-08,4.7.2,2022-09-15,4.0-beta1,AhmedElTabarani/learnGodotArabic,lag_observations,True,unknown,0.1
1,,2026-08-26,2,4,1443,1274,godot,0,,7,2022-09-13,4.7.2,2023-03-01,4.0-stable,marmitoTH/Godot-Sonic-Physics,lag_observations,True,game,0.1
1,,2026-08-26,2,4,1443,1441,godot,0,,8,2022-09-13,4.7.2,2022-09-15,4.0-beta1,marmitoTH/Godot-Sonic-Physics,lag_observations,True,game,0.1
1,,2026-08-26,46,4,1905,1274,godot,0,,7,2021-06-08,4.7.2,2023-03-01,4.0-stable,samdze/godot-launcher,lag_observations,True,game,0.1
1,,2026-08-26,46,4,1905,1441,godot,0,,8,2021-06-08,4.7.2,2022-09-15,4.0-beta1,samdze/godot-launcher,lag_observations,True,game,0.1
7,,2026-08-26,243,4,1487,1274,godot,0,,7,2022-07-31,4.7.2,2023-03-01,4.0-stable,Mad-Cookies-Studio/mad-productivity,lag_observations,True,game,0.1
7,,2026-08-26,243,4,1487,1441,godot,0,,8,2022-07-31,4.7.2,2022-09-15,4.0-beta1,Mad-Cookies-Studio/mad-productivity,lag_observations,True,game,0.1
3,,2026-08-26,13,4,1991,1274,godot,0,,7,2021-03-14,4.7.2,2023-03-01,4.0-stable,jonchun/gd-ecs,lag_observations,True,unknown,0.1
3,,2026-08-26,13,4,1991,1441,godot,0,,8,2021-03-14,4.7.2,2022-09-15,4.0-beta1,jonchun/gd-ecs,lag_observations,True,unknown,0.1
3,,2026-08-26,36,4,855,1274,godot,0,,7,2024-04-23,4.7.2,2023-03-01,4.0-stable,DusanFedorcak/mmo,lag_observations,True,game,0.1
3,,2026-08-26,36,4,855,1441,godot,0,,8,2024-04-23,4.7.2,2022-09-15,4.0-beta1,DusanFedorcak/mmo,lag_observations,True,game,0.1
3,,2026-08-26,85,4,1786,1274,godot,0,,7,2021-10-05,4.7.2,2023-03-01,4.0-stable,dannygaray60/toziuha-night-oota,lag_observations,True,game,0.1
3,,2026-08-26,85,4,1786,1441,godot,0,,8,2021-10-05,4.7.2,2022-09-15,4.0-beta1,dannygaray60/toziuha-night-oota,lag_observations,True,game,0.1
1,,2026-08-26,66,4,1631,1274,godot,0,,7,2022-03-09,4.7.2,2023-03-01,4.0-stable,SakuyaCN/Godot_TeamGame,lag_observations,True,addon,0.1
1,,2026-08-26,66,4,1631,1441,godot,0,,8,2022-03-09,4.7.2,2022-09-15,4.0-beta1,SakuyaCN/Godot_TeamGame,lag_observations,True,addon,0.1
1,,2026-08-26,21,4,1624,1274,godot,0,,7,2022-03-16,4.7.2,2023-03-01,4.0-stable,BastiaanOlij/vehicle-demo,lag_observations,True,demo,0.1
1,,2026-08-26,21,4,1624,1441,godot,0,,8,2022-03-16,4.7.2,2022-09-15,4.0-beta1,BastiaanOlij/vehicle-demo,lag_observations,True,demo,0.1
2,,2026-08-26,42,4,1902,1274,godot,0,,7,2021-06-11,4.7.2,2023-03-01,4.0-stable,arkeve/Godot-Pokemon,lag_observations,True,game,0.1
2,,2026-08-26,42,4,1902,1441,godot,0,,8,2021-06-11,4.7.2,2022-09-15,4.0-beta1,arkeve/Godot-Pokemon,lag_observations,True,game,0.1
1,,2026-08-26,44,4,917,1274,godot,0,,7,2024-02-21,4.7.2,2023-03-01,4.0-stable,Btan2/Q_Move,lag_observations,True,unknown,0.1
1,,2026-08-26,44,4,917,1441,godot,0,,8,2024-02-21,4.7.2,2022-09-15,4.0-beta1,Btan2/Q_Move,lag_observations,True,unknown,0.1
2,,2026-08-26,15,4,1977,1274,godot,0,,7,2021-03-28,4.7.2,2023-03-01,4.0-stable,samuelbigos/godot_dither_shader,lag_observations,True,unknown,0.1
2,,2026-08-26,15,4,1977,1441,godot,0,,8,2021-03-28,4.7.2,2022-09-15,4.0-beta1,samuelbigos/godot_dither_shader,lag_observations,True,unknown,0.1
9,,2026-08-26,527,4,1300,1274,godot,0,,7,2023-02-03,4.7.2,2023-03-01,4.0-stable,unfa/liblast,lag_observations,True,game,0.1
9,,2026-08-26,527,4,1300,1441,godot,0,,8,2023-02-03,4.7.2,2022-09-15,4.0-beta1,unfa/liblast,lag_observations,True,game,0.1
2,,2026-08-26,8,4,1640,1274,godot,0,,7,2022-02-28,4.7.2,2023-03-01,4.0-stable,KenneyNL/KayKit-Hexagons,lag_observations,True,unknown,0.1
2,,2026-08-26,8,4,1640,1441,godot,0,,8,2022-02-28,4.7.2,2022-09-15,4.0-beta1,KenneyNL/KayKit-Hexagons,lag_observations,True,unknown,0.1
5,,2026-08-26,26,4,1862,1274,godot,0,,7,2021-07-21,4.7.2,2023-03-01,4.0-stable,JaccomoLorenz/Godot-Visual-Shader-Node-Library,lag_observations,True,library,0.1
5,,2026-08-26,26,4,1862,1441,godot,0,,8,2021-07-21,4.7.2,2022-09-15,4.0-beta1,JaccomoLorenz/Godot-Visual-Shader-Node-Library,lag_observations,True,library,0.1
3,,2026-08-26,198,4,1974,1274,godot,0,,7,2021-03-31,4.7.2,2023-03-01,4.0-stable,godot-mega-man/Mega-Man-Engine,lag_observations,True,demo,0.1
3,,2026-08-26,198,4,1974,1441,godot,0,,8,2021-03-31,4.7.2,2022-09-15,4.0-beta1,godot-mega-man/Mega-Man-Engine,lag_observations,True,demo,0.1
3,,2026-08-26,162,4,2299,1274,godot,0,,7,2020-05-10,4.7.2,2023-03-01,4.0-stable,openairlinetycoon/OpenATDeluxe,lag_observations,True,game,0.1
3,,2026-08-26,162,4,2299,1441,godot,0,,8,2020-05-10,4.7.2,2022-09-15,4.0-beta1,openairlinetycoon/OpenATDeluxe,lag_observations,True,game,0.1
9,,2026-08-26,89,4,1235,1274,godot,0,,7,2023-04-09,4.7.2,2023-03-01,4.0-stable,levigilbert/godot-LDtk-import,lag_observations,True,addon,0.1
9,,2026-08-26,89,4,1235,1441,godot,0,,8,2023-04-09,4.7.2,2022-09-15,4.0-beta1,levigilbert/godot-LDtk-import,lag_observations,True,addon,0.1
3,,2026-08-26,263,4,9,1274,godot,0,,7,2026-08-17,4.7.2,2023-03-01,4.0-stable,roalyr/GDTLancer-legacy,lag_observations,True,game,0.1
3,,2026-08-26,263,4,9,1441,godot,0,,8,2026-08-17,4.7.2,2022-09-15,4.0-beta1,roalyr/GDTLancer-legacy,lag_observations,True,game,0.1
3,,2026-08-26,366,4,710,1274,godot,0,,7,2024-09-15,4.7.2,2023-03-01,4.0-stable,Haidra-Org/Lucid-Creations,lag_observations,True,game,0.1
3,,2026-08-26,366,4,710,1441,godot,0,,8,2024-09-15,4.7.2,2022-09-15,4.0-beta1,Haidra-Org/Lucid-Creations,lag_observations,True,game,0.1
5,,2026-08-26,64,4,2296,1274,godot,0,,7,2020-05-13,4.7.2,2023-03-01,4.0-stable,arypbatista/godot-swipe-detector,lag_observations,True,addon,0.1
5,,2026-08-26,64,4,2296,1441,godot,0,,8,2020-05-13,4.7.2,2022-09-15,4.0-beta1,arypbatista/godot-swipe-detector,lag_observations,True,addon,0.1
3,,2026-08-26,10,4,1727,1274,godot,0,,7,2021-12-03,4.7.2,2023-03-01,4.0-stable,uheartbeast/3d-dungeon,lag_observations,True,game,0.1
3,,2026-08-26,10,4,1727,1441,godot,0,,8,2021-12-03,4.7.2,2022-09-15,4.0-beta1,uheartbeast/3d-dungeon,lag_observations,True,game,0.1
3,,2026-08-26,53,4,1405,1274,godot,0,,7,2022-10-21,4.7.2,2023-03-01,4.0-stable,ACB-prgm/Godot_GamePad,lag_observations,True,game,0.1
3,,2026-08-26,53,4,1405,1441,godot,0,,8,2022-10-21,4.7.2,2022-09-15,4.0-beta1,ACB-prgm/Godot_GamePad,lag_observations,True,game,0.1
2,,2026-08-26,9,4,588,1274,godot,0,,7,2025-01-15,4.7.2,2023-03-01,4.0-stable,smix8/Godot3DCharacterEditorWardrobe,lag_observations,True,tool,0.1
2,,2026-08-26,9,4,588,1441,godot,0,,8,2025-01-15,4.7.2,2022-09-15,4.0-beta1,smix8/Godot3DCharacterEditorWardrobe,lag_observations,True,tool,0.1
5,,2026-08-26,27,4,1553,1274,godot,0,,7,2022-05-26,4.7.2,2023-03-01,4.0-stable,NeoSpark314/BeepSaber,lag_observations,True,game,0.1
5,,2026-08-26,27,4,1553,1441,godot,0,,8,2022-05-26,4.7.2,2022-09-15,4.0-beta1,NeoSpark314/BeepSaber,lag_observations,True,game,0.1
1,,2026-08-26,12,4,2241,1274,godot,0,,7,2020-07-07,4.7.2,2023-03-01,4.0-stable,EXPWorlds/Godot-Dialog-System,lag_observations,True,addon,0.1
1,,2026-08-26,12,4,2241,1441,godot,0,,8,2020-07-07,4.7.2,2022-09-15,4.0-beta1,EXPWorlds/Godot-Dialog-System,lag_observations,True,addon,0.1
2,,2026-08-26,10,4,1722,1274,godot,0,,7,2021-12-08,4.7.2,2023-03-01,4.0-stable,Bauxitedev/bendyworm,lag_observations,True,game,0.1
2,,2026-08-26,10,4,1722,1441,godot,0,,8,2021-12-08,4.7.2,2022-09-15,4.0-beta1,Bauxitedev/bendyworm,lag_observations,True,game,0.1
2,,2026-08-26,29,4,1509,1274,godot,0,,7,2022-07-09,4.7.2,2023-03-01,4.0-stable,QueenChristina/gd_dialog,lag_observations,True,game,0.1
2,,2026-08-26,29,4,1509,1441,godot,0,,8,2022-07-09,4.7.2,2022-09-15,4.0-beta1,QueenChristina/gd_dialog,lag_observations,True,game,0.1
8,,2026-08-26,66,4,963,1274,godot,0,,7,2024-01-06,4.7.2,2023-03-01,4.0-stable,QuadCubedStudios/GoDAW,lag_observations,True,game,0.1
8,,2026-08-26,66,4,963,1441,godot,0,,8,2024-01-06,4.7.2,2022-09-15,4.0-beta1,QuadCubedStudios/GoDAW,lag_observations,True,game,0.1
2,,2026-08-26,153,4,1826,1274,godot,0,,7,2021-08-26,4.7.2,2023-03-01,4.0-stable,ghsoares/ReactGD,lag_observations,True,addon,0.1
2,,2026-08-26,153,4,1826,1441,godot,0,,8,2021-08-26,4.7.2,2022-09-15,4.0-beta1,ghsoares/ReactGD,lag_observations,True,addon,0.1
1,,2026-08-26,8,4,2032,1274,godot,0,,7,2021-02-01,4.7.2,2023-03-01,4.0-stable,Remruts/Paralunar_GameOff,lag_observations,True,game,0.1
1,,2026-08-26,8,4,2032,1441,godot,0,,8,2021-02-01,4.7.2,2022-09-15,4.0-beta1,Remruts/Paralunar_GameOff,lag_observations,True,game,0.1
1,,2026-08-26,237,4,921,1274,godot,0,,7,2024-02-17,4.7.2,2023-03-01,4.0-stable,KoBeWi/The-Soulhunter,lag_observations,True,game,0.1
1,,2026-08-26,237,4,921,1441,godot,0,,8,2024-02-17,4.7.2,2022-09-15,4.0-beta1,KoBeWi/The-Soulhunter,lag_observations,True,game,0.1
5,,2026-08-26,28,4,1681,1274,godot,0,,7,2022-01-18,4.7.2,2023-03-01,4.0-stable,EricEzaM/godot-color-palette,lag_observations,True,addon,0.1
5,,2026-08-26,28,4,1681,1441,godot,0,,8,2022-01-18,4.7.2,2022-09-15,4.0-beta1,EricEzaM/godot-color-palette,lag_observations,True,addon,0.1
2,,2026-08-26,135,4,2168,1274,godot,0,,7,2020-09-18,4.7.2,2023-03-01,4.0-stable,Levrault/godot-2d-action-adventure-platformer-demo,lag_observations,True,demo,0.1
2,,2026-08-26,135,4,2168,1441,godot,0,,8,2020-09-18,4.7.2,2022-09-15,4.0-beta1,Levrault/godot-2d-action-adventure-platformer-demo,lag_observations,True,demo,0.1
4,,2026-08-26,91,4,1555,1274,godot,0,,7,2022-05-24,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-2d-tactical-space-combat,lag_observations,True,demo,0.1
4,,2026-08-26,91,4,1555,1441,godot,0,,8,2022-05-24,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-2d-tactical-space-combat,lag_observations,True,demo,0.1
4,,2026-08-26,133,4,674,1274,godot,0,,7,2024-10-21,4.7.2,2023-03-01,4.0-stable,argosopentech/Conquest,lag_observations,True,game,0.1
4,,2026-08-26,133,4,674,1441,godot,0,,8,2024-10-21,4.7.2,2022-09-15,4.0-beta1,argosopentech/Conquest,lag_observations,True,game,0.1
5,,2026-08-26,273,4,1415,1274,godot,0,,7,2022-10-11,4.7.2,2023-03-01,4.0-stable,kai63001/wildcard-game,lag_observations,True,game,0.1
5,,2026-08-26,273,4,1415,1441,godot,0,,8,2022-10-11,4.7.2,2022-09-15,4.0-beta1,kai63001/wildcard-game,lag_observations,True,game,0.1
4,,2026-08-26,32,4,1243,1274,godot,0,,7,2023-04-01,4.7.2,2023-03-01,4.0-stable,Norodix/GodotMirror,lag_observations,True,addon,0.1
4,,2026-08-26,32,4,1243,1441,godot,0,,8,2023-04-01,4.7.2,2022-09-15,4.0-beta1,Norodix/GodotMirror,lag_observations,True,addon,0.1
1,,2026-08-26,147,4,1903,1274,godot,0,,7,2021-06-10,4.7.2,2023-03-01,4.0-stable,tayloraswift/godot-swift,lag_observations,True,game,0.1
1,,2026-08-26,147,4,1903,1441,godot,0,,8,2021-06-10,4.7.2,2022-09-15,4.0-beta1,tayloraswift/godot-swift,lag_observations,True,game,0.1
4,,2026-08-26,977,4,112,1274,godot,0,,7,2026-05-06,4.7.2,2023-03-01,4.0-stable,Novakasa/brickrail,lag_observations,True,game,0.1
4,,2026-08-26,977,4,112,1441,godot,0,,8,2026-05-06,4.7.2,2022-09-15,4.0-beta1,Novakasa/brickrail,lag_observations,True,game,0.1
1,,2026-08-26,1,4,1903,1274,godot,0,,7,2021-06-10,4.7.2,2023-03-01,4.0-stable,Deep-Fold/SpriteGenerator,lag_observations,True,unknown,0.1
1,,2026-08-26,1,4,1903,1441,godot,0,,8,2021-06-10,4.7.2,2022-09-15,4.0-beta1,Deep-Fold/SpriteGenerator,lag_observations,True,unknown,0.1
1,,2026-08-26,29,4,2083,1274,godot,0,,7,2020-12-12,4.7.2,2023-03-01,4.0-stable,awnagel/Godot-Thief-Controller,lag_observations,True,addon,0.1
1,,2026-08-26,29,4,2083,1441,godot,0,,8,2020-12-12,4.7.2,2022-09-15,4.0-beta1,awnagel/Godot-Thief-Controller,lag_observations,True,addon,0.1
2,,2026-08-26,43,4,1279,1274,godot,0,,7,2023-02-24,4.7.2,2023-03-01,4.0-stable,ozzr/godot_terrain,lag_observations,True,unknown,0.1
2,,2026-08-26,43,4,1279,1403,godot,0,,8,2023-02-24,4.7.2,2022-10-23,4.0-beta1,ozzr/godot_terrain,lag_observations,True,unknown,0.1
2,,2026-08-26,5,4,1728,1274,godot,0,,7,2021-12-02,4.7.2,2023-03-01,4.0-stable,nagidev/bean-of-the-wild,lag_observations,True,game,0.1
2,,2026-08-26,5,4,1728,1441,godot,0,,8,2021-12-02,4.7.2,2022-09-15,4.0-beta1,nagidev/bean-of-the-wild,lag_observations,True,game,0.1
2,,2026-08-26,29,4,1621,1274,godot,0,,7,2022-03-19,4.7.2,2023-03-01,4.0-stable,Delta12Studio/Lango_GodotRPG,lag_observations,True,game,0.1
2,,2026-08-26,29,4,1621,1441,godot,0,,8,2022-03-19,4.7.2,2022-09-15,4.0-beta1,Delta12Studio/Lango_GodotRPG,lag_observations,True,game,0.1
2,36223c77efc87bff3b02159eb66410fe5cc9cab5,,61,127,,685,godot,1,2025-01-14,3,2025-01-14,4.3,2023-03-01,4.0-stable,XLIVE99/AutoGrid,lag_observations,True,addon,0.1
2,36223c77efc87bff3b02159eb66410fe5cc9cab5,,61,127,,852,godot,1,2025-01-14,4,2025-01-14,4.3,2022-09-15,4.0-beta1,XLIVE99/AutoGrid,lag_observations,True,addon,0.1
14,,2026-08-26,1756,4,503,1274,godot,0,,7,2025-04-10,4.7.2,2023-03-01,4.0-stable,db0/hypnagonia,lag_observations,True,game,0.1
14,,2026-08-26,1756,4,503,1441,godot,0,,8,2025-04-10,4.7.2,2022-09-15,4.0-beta1,db0/hypnagonia,lag_observations,True,game,0.1
1,d905aed393f68dff3288e1e4b2299b07c15f15c8,,19,141,,349,godot,1,2024-02-13,2,2025-10-26,4.2.1,2023-03-01,4.0-stable,alfredbaudisch/GodotDynamicInventorySystem,lag_observations,True,game,0.1
1,d905aed393f68dff3288e1e4b2299b07c15f15c8,,19,141,,516,godot,1,2024-02-13,3,2025-10-26,4.2.1,2022-09-15,4.0-beta1,alfredbaudisch/GodotDynamicInventorySystem,lag_observations,True,game,0.1
5,b34e4dca41383864c099ee8eed74eaa36d25bdc3,,98,48,,606,godot,1,2024-10-27,3,2026-05-16,4.3,2023-03-01,4.0-stable,gdquest-demos/godot-4-2d-visual-novel,lag_observations,True,demo,0.1
5,b34e4dca41383864c099ee8eed74eaa36d25bdc3,,98,48,,773,godot,1,2024-10-27,4,2026-05-16,4.3,2022-09-15,4.0-beta1,gdquest-demos/godot-4-2d-visual-novel,lag_observations,True,demo,0.1
1,dcfca1873f46f7e700575067b3bc54abb046921e,,9,45,,4,godot,1,2022-09-19,0,2025-09-24,3.5,2022-09-15,4.0-beta1,MCMLXXXV/godot-minimal-template,lag_observations,True,template,0.1
2,0d48d5fe2aa65bc8e455c78043f1d30085ad9804,,989,155,,161,godot,1,2023-08-09,1,2026-08-22,4.1.1,2023-03-01,4.0-stable,ivoyager/project_template,lag_observations,True,template,0.1
2,0d48d5fe2aa65bc8e455c78043f1d30085ad9804,,989,155,,328,godot,1,2023-08-09,2,2026-08-22,4.1.1,2022-09-15,4.0-beta1,ivoyager/project_template,lag_observations,True,template,0.1
3,c1b8ef4397f487feedd11be9bfee307951b57366,,13,112,,320,godot,1,2024-01-15,2,2024-01-15,4.2.1,2023-03-01,4.0-stable,DJj123dj/bad-flappybird,lag_observations,True,tool,0.1
3,c1b8ef4397f487feedd11be9bfee307951b57366,,13,112,,458,godot,1,2024-01-15,3,2024-01-15,4.2.1,2022-10-14,4.0-beta1,DJj123dj/bad-flappybird,lag_observations,True,tool,0.1
2,5b963114cbbf22cb8ab2a1d2127f4199578fd689,,219,136,,694,godot,1,2025-01-23,3,2025-09-05,4.3,2023-03-01,4.0-stable,mhgolkar/Arrow,lag_observations,True,tool,0.1
2,5b963114cbbf22cb8ab2a1d2127f4199578fd689,,219,136,,861,godot,1,2025-01-23,4,2025-09-05,4.3,2022-09-15,4.0-beta1,mhgolkar/Arrow,lag_observations,True,tool,0.1
2,,2026-08-26,10,4,1390,1274,godot,0,,7,2022-11-05,4.7.2,2023-03-01,4.0-stable,GithubPrankster/gpsx,lag_observations,True,unknown,0.1
2,,2026-08-26,10,4,1390,1441,godot,0,,8,2022-11-05,4.7.2,2022-09-15,4.0-beta1,GithubPrankster/gpsx,lag_observations,True,unknown,0.1
59,65a7b1495a8890270b43689724498b55d799a1fc,,1790,170,,1137,godot,1,2026-04-11,6,2026-08-25,4.6.2,2023-03-01,4.0-stable,GDQuest/learn-gdscript,lag_observations,True,learning-material,0.1
59,65a7b1495a8890270b43689724498b55d799a1fc,,1790,170,,1304,godot,1,2026-04-11,7,2026-08-25,4.6.2,2022-09-15,4.0-beta1,GDQuest/learn-gdscript,lag_observations,True,learning-material,0.1
1,a9f3ccb41be5037990770b9e5357bbb091464a7a,,40,105,,313,godot,1,2024-01-08,2,2024-01-08,4.2.1,2023-03-01,4.0-stable,noidexe/top-down-action-rpg-template,lag_observations,True,template,0.1
